               Tiempo                    Angulo                PosicionX                PosicionY                 Vel.ang.
   0.0000000000000000       0.20000000000000001        1.9469594417916001       -9.6046524628441681        0.0000000000000000        
   4.0000000000000001E-002  0.19968212907072791        1.9469594417916001       -9.6046524628441681       -7.9467732318024495E-003   
   8.0000000000000002E-002  0.19910443703436567        1.9439063036770476       -9.6052708594044685       -1.4442300909056072E-002   
  0.12000000000000000       0.19832418383659045        1.9383570911350454       -9.6063922357587774       -1.9506329944380736E-002   
  0.16000000000000000       0.19739772928929708        1.9308610836034665       -9.6079017207622215       -2.3161363682333923E-002   
  0.20000000000000001       0.19638042647242585        1.9219589719912944       -9.6096864522200818       -2.5432570421780678E-002   
  0.24000000000000002       0.19532651888478680        1.9121820180579903       -9.6116366936030033       -2.6347689690975992E-002   
  0.28000000000000003       0.19428904143725023        1.9020511811417411       -9.6136466184438731       -2.5936936188414465E-002   
  0.32000000000000001       0.19331972538416528        1.8920762177304831       -9.6156147794251154       -2.4232901327123541E-002   
  0.35999999999999999       0.19246890729020413        1.8827547605516934       -9.6174442817008288       -2.1270452349028614E-002   
  0.39999999999999997       0.19178544212992821        1.8745713844714136       -9.6190426823318003       -1.7086629006898290E-002   
  0.43999999999999995       0.19131662061624433        1.8679966666054568       -9.6203216398180214       -1.1720537842096998E-002   
  0.47999999999999993       0.19110809085163680        1.8634862477305074       -9.6211963395681348       -5.2132441151883403E-003   
  0.51999999999999991       0.19120378439275815        1.8614799014205798       -9.6215847227266700        2.3923385280336489E-003   
  0.55999999999999994       0.19164584681480865        1.8624006164094693       -9.6214065470698014        1.1051560551262662E-002   
  0.59999999999999998       0.19247457285732880        1.8666536965782690       -9.6205823096656005        2.0718151063003693E-002   
  0.64000000000000001       0.19372834622777838        1.8746258817733195       -9.6190320616674114        3.1344334261239171E-002   
  0.68000000000000005       0.19544358413378632        1.8866844914554064       -9.6166741459665595        4.2880947650198578E-002   
  0.72000000000000008       0.19765468660941801        1.9031765920412380       -9.6134238884752357        5.5277561890792096E-002   
  0.76000000000000012       0.20039399069538627        1.9244281877914322       -9.6091922735490005        6.8482602149206484E-002   
  0.80000000000000016       0.20369172952796108        1.9507434342845198       -9.6038846335009591        8.2443470814370298E-002   
  0.84000000000000019       0.20757599638649821        1.9824038729424971       -9.5973993813190148        9.7106671463428218E-002   
  0.88000000000000023       0.21207271374505188        2.0196676847774016       -9.5896268145880370       0.11241793396384205        
  0.92000000000000026       0.21720560736945194        2.0627689615353160       -9.5804480172550672       0.12832234061000150        
  0.96000000000000030       0.22299618549745187        2.1119169927365364       -9.5697338842723667       0.14476445319999842        
   1.0000000000000002       0.22946372313598137        2.1672955677482326       -9.5573442923240393       0.16168844096323723        
   1.0400000000000003       0.23662525150600705        2.2290622929660873       -9.5431274377992459       0.17903820925064196        
   1.0800000000000003       0.24449555266181988        2.2973479253996278       -9.5269193609299556       0.19675752889532089        
   1.1200000000000003       0.25308715930749087        2.3722557254163665       -9.5085436725730670       0.21479016614177432        
   1.1600000000000004       0.26241035982850675        2.4538608330565350       -9.4878114974946204       0.23308001302539638        
   1.2000000000000004       0.27247320855093410        2.5422096741280877       -9.4645216452163901       0.25157121806068411        
   1.2400000000000004       0.28328154123357580        2.6373194041682426       -9.4384610165215861       0.27020831706604242        
   1.2800000000000005       0.29483899579019451        2.7391774002447211       -9.4094052505983914       0.28893636391546851        
   1.3200000000000005       0.30714703822871869        2.8477408123945058       -9.3771196145417015       0.30770106096310396        
   1.3600000000000005       0.32020499378217293        2.9629361881858296       -9.3413601335532945       0.32644888883635642        
   1.4000000000000006       0.33401008319169251        3.0846591853657426       -9.3018749567030170       0.34512723523798955        
   1.4400000000000006       0.34855746408523353        3.2127743887488669       -9.2584059495681732       0.36368452233852533        
   1.4800000000000006       0.36384027737639341        3.3471152483452760       -9.2106905014930636       0.38207033227899750        
   1.5200000000000007       0.37984969858608408        3.4874841561565515       -9.1584635316496747       0.40023553024226738        
   1.5600000000000007       0.39657499396571044        3.6336526790376347       -9.1014596745864136       0.41813238449065881        
   1.6000000000000008       0.41400358127413495        3.7853619644886596       -9.0394156225832738       0.43571468271061298        
   1.6400000000000008       0.43212109503227447        3.9423233351793061       -8.9720725989539751       0.45293784395348885        
   1.6800000000000008       0.45091145604898003        4.1042190864074248       -8.8991789335179128       0.46975902541763931        
   1.7200000000000009       0.47035694498027991        4.2707034985593006       -8.8204927088793266       0.48613722328249631        
   1.7600000000000009       0.49043827965157988        4.4414040739937573       -8.7357844439701964       0.50203336678249910        
   1.8000000000000009       0.51113469583953919        4.6159230046567519       -8.6448397796072900       0.51741040469898369        
   1.8400000000000010       0.53242403117766091        4.7938388732048649       -8.5474621296470161       0.53223338345304361        
   1.8800000000000010       0.55428281181777939        4.9747085865488350       -8.4434752607511854       0.54646951600296134        
   1.9200000000000010       0.57668634144925157        5.1580695366105500       -8.3327257638476393       0.56008824078680386        
   1.9600000000000011       0.59960879224943020        5.3434419788191052       -8.2150853811140507       0.57306127000446450        
   2.0000000000000009       0.62302329731357586        5.5303316145633712       -8.0904531537461430       0.58536262660364058        
   2.0400000000000009       0.64690204409038909        5.7182323595857341       -7.9587573578911535       0.59696866942033022        
   2.0800000000000010       0.67121636833140119        5.9066292762614543       -7.8199571989117116       0.60785810602530266        
   2.1200000000000010       0.69593684804908518        6.0950016439759427       -7.6740442375536624       0.61801199294209963        
   2.1600000000000010       0.72103339697018465        6.2828261384971702       -7.5210435255632415       0.62741372302748655        
