tiempo		Temp		errtiempo		errTemp	
70.0		332.9	0.016667	0.1
70.5		331.8	0.016667	0.1
71.0		330.6	0.016667	0.1
71.5		329.4	0.016667	0.1
72.0		328.3	0.016667	0.1
72.5		327.0	0.016667	0.1
73.0		326.0	0.016667	0.1
73.5		325.1	0.016667	0.1
74.0		325.2	0.016667	0.1
74.5		326.0	0.016667	0.1
75.0		327.3	0.016667	0.1
75.5		328.9	0.016667	0.1
76.0		330.5	0.016667	0.1
76.5		332.2	0.016667	0.1
77.0		333.6	0.016667	0.1
77.5		334.3	0.016667	0.1
78.0		334.2	0.016667	0.1
78.5		333.5	0.016667	0.1
79.0		332.5	0.016667	0.1
79.5		331.3	0.016667	0.1
80.0		330.1	0.016667	0.1
80.5		328.9	0.016667	0.1
81.0		327.7	0.016667	0.1
81.5		326.6	0.016667	0.1
82.0		325.6	0.016667	0.1
82.5		325.3	0.016667	0.1
83.0		326.0	0.016667	0.1
83.5		327.2	0.016667	0.1
84.0		328.7	0.016667	0.1
84.5		330.3	0.016667	0.1
85.0		332.0	0.016667	0.1
85.5		333.6	0.016667	0.1
86.0		334.6	0.016667	0.1
86.5		334.7	0.016667	0.1
87.0		334.1	0.016667	0.1
87.5		333.2	0.016667	0.1
88.0		332.1	0.016667	0.1
88.5		330.7	0.016667	0.1
89.0		329.5	0.016667	0.1
89.5		328.5	0.016667	0.1
90.0		327.4	0.016667	0.1
90.5		326.3	0.016667	0.1
91.0		325.7	0.016667	0.1
91.5		326.1	0.016667	0.1
92.0		327.0	0.016667	0.1
92.5		328.5	0.016667	0.1
93.0		330.0	0.016667	0.1
93.5		331.5	0.016667	0.1
94.0		333.2	0.016667	0.1
94.5		334.5	0.016667	0.1
95.0		334.8	0.016667	0.1
95.5		334.4	0.016667	0.1
96.0		333.6	0.016667	0.1
96.5		332.5	0.016667	0.1
97.0		331.3	0.016667	0.1
97.5		330.0	0.016667	0.1
98.0		328.9	0.016667	0.1
98.5		327.7	0.016667	0.1
99.0		326.6	0.016667	0.1
99.5		325.8	0.016667	0.1
100.0	326.2	0.016667	0.1
100.5	326.8	0.016667	0.1
101.0	328.1	0.016667	0.1
101.5	329.6	0.016667	0.1
102.0	331.3	0.016667	0.1
102.5	332.9	0.016667	0.1
103.0	334.3	0.016667	0.1
103.5	334.9	0.016667	0.1
104.0	334.5	0.016667	0.1
104.5	334.0	0.016667	0.1
105.0	333.0	0.016667	0.1
105.5	331.8	0.016667	0.1
106.0	330.5	0.016667	0.1
106.5	329.3	0.016667	0.1
107.0	328.2	0.016667	0.1
107.5	327.1	0.016667	0.1
108.0	326.1	0.016667	0.1
108.5	325.9	0.016667	0.1
109.0	326.7	0.016667	0.1
109.5	327.9	0.016667	0.1
110.0	329.4	0.016667	0.1
110.5	331.0	0.016667	0.1
111.0	332.7	0.016667	0.1
111.5	334.1	0.016667	0.1
112.0	335.1	0.016667	0.1
112.5	335.0	0.016667	0.1
113.0	334.4	0.016667	0.1
113.5	333.4	0.016667	0.1
114.0	332.3	0.016667	0.1
114.5	331.0	0.016667	0.1
115.0	329.8	0.016667	0.1
115.5	328.7	0.016667	0.1
116.0	327.6	0.016667	0.1
116.5	326.5	0.016667	0.1
117.0	326.0	0.016667	0.1
117.5	326.5	0.016667	0.1
118.0	327.6	0.016667	0.1
118.5	329.0	0.016667	0.1
119.0	330.5	0.016667	0.1
119.5	332.2	0.016667	0.1
120.0	333.8	0.016667	0.1

